=== Creating logs directory ===
=== Changing to work directory ===
=== Building bench_read_1pz ===
=== Picking sample files ===
Found and selected 100 files
=== Running benchmark with n_threads=32 (full per-file output) ===
path,file_size,n_cells,nnz,decoded_bytes,cold_ms,warm_ms
/mnt/home/besleya/quant/GSE211956/GSM6506109/gene_counts.1pz,3209845,2086,3505485,28052228,203.501,207.411
/mnt/home/besleya/quant/GSE150290/GSM4546306/counts.1pz,3205409,2206,3440824,27535420,200.23,200.422
/mnt/home/besleya/quant/GSE173180/GSM5261585/counts.1pz,31517915,114113,35226141,282265584,1981.69,1975.47
/mnt/home/besleya/quant/GSE150290/GSM4546307/counts.1pz,4600002,3494,5139735,41131860,297.624,294.949
/mnt/home/besleya/quant/GSE237239/GSM7597609/counts.1pz,70529614,137014,88856673,711401444,5406.65,5393.49
/mnt/home/besleya/quant/GSE242197/GSM7754836/counts.1pz,15868788,7551,19241270,153960368,1180.3,1171.87
/mnt/home/besleya/quant/GSE250558/GSM7981574/counts.1pz,13279403,19502,15443146,123623180,815.107,810.83
/mnt/home/besleya/quant/GSE269942/GSM8330744/counts.1pz,18485770,3867,25499396,204010640,1761.65,1762.62
/mnt/home/besleya/quant/GSE266546/GSM8249613/counts.1pz,3843563,22429,3217790,25832040,141.97,140.189
/mnt/home/besleya/quant/GSE254513/GSM8045364/counts.1pz,618355,7766,216785,1765348,11.3347,10.9225
/mnt/home/besleya/quant/GSE260842/GSM8125228/counts.1pz,8424232,4218,9681670,77470236,587.005,588.498
/mnt/home/besleya/quant/GSE212505/GSM6533793/counts.1pz,20006261,96276,16957987,136049004,798.119,790.728
/mnt/home/besleya/quant/GSE234790/GSM7474809/counts.1pz,18063574,68206,18765300,150395228,1031.93,1028.06
/mnt/home/besleya/quant/GSE233766/GSM7434420/counts.1pz,43582275,87748,56766733,454484860,3295.1,3288.91
/mnt/home/besleya/quant/GSE204702/GSM6186068/counts.1pz,9328500,3932,11207604,89676564,684.836,682.322
/mnt/home/besleya/quant/GSE130931/GSM4041122/counts.1pz,2811148,19788,3205979,25726988,187.364,188.286
/mnt/home/besleya/quant/GSE266546/GSM8249684/counts.1pz,1868928,10811,1382258,11101312,62.3363,61.0863
/mnt/home/besleya/quant/GSE250558/GSM7981588/counts.1pz,5921634,17214,5825071,46669428,274.889,279.667
/mnt/home/besleya/quant/GSE211956/GSM6506111/gene_counts.1pz,4118356,1773,5542752,44349112,340.579,342.305
/mnt/home/besleya/quant/GSE204702/GSM6186024/counts.1pz,6090241,2190,7232473,57868548,451.969,450.659
/mnt/home/besleya/quant/GSE206391/GSM6252958/counts.1pz,1384148,328,1513993,12113260,96.3442,94.9492
/mnt/home/besleya/quant/GSE269942/GSM8330743/counts.1pz,2904767,293,3502324,28019768,241.603,242.607
/mnt/home/besleya/quant/GSE250558/GSM7981576/counts.1pz,37744885,17720,53074053,424663308,3351.05,3346.19
/mnt/home/besleya/quant/GSE152522/GSM4617199/counts.1pz,773850,4446,414257,3331844,18.7779,17.928
/mnt/home/besleya/quant/GSE303581/GSM9129495/counts.1pz,18099643,7788,23340404,186754388,1454.83,1445.82
/mnt/home/besleya/quant/GSE261774/GSM8151506/counts.1pz,5777402,4065,6741236,53946152,385.334,389.303
/mnt/home/besleya/quant/GSE204702/GSM6186029/counts.1pz,4552514,2790,5321400,42582364,307.063,309.95
/mnt/home/besleya/quant/GSE266546/GSM8249701/counts.1pz,708839,2683,352917,2834072,16.2672,15.494
/mnt/home/besleya/quant/GSE269942/GSM8330736/counts.1pz,5514591,621,7255882,58049544,511.231,508.409
/mnt/home/besleya/quant/GSE150290/GSM4546345/counts.1pz,5075807,5403,5431042,43469952,302.704,299.619
/mnt/home/besleya/quant/GSE266427/GSM8246772/counts.1pz,25099733,76241,26981473,216156752,1516.09,1509.59
/mnt/home/besleya/quant/GSE275650/GSM8481946/counts.1pz,15013539,6802,20011434,160118684,1230.6,1222.89
/mnt/home/besleya/quant/GSE206391/GSM6252962/counts.1pz,875046,173,786903,6295920,50.8397,49.5454
/mnt/home/besleya/quant/GSE152522/GSM4617162/counts.1pz,4137179,5532,3790219,30343884,197.595,199.938
/mnt/home/besleya/quant/GSE204704/GSM6186114/counts.1pz,8584782,2869,11036003,88299504,692.3,696.03
/mnt/home/besleya/quant/GSE266546/GSM8249617/counts.1pz,1510700,8071,1067825,8574888,46.6705,46.41
/mnt/home/besleya/quant/GSE266546/GSM8249721/counts.1pz,872914,3677,501442,4026248,22.7959,21.8285
/mnt/home/besleya/quant/GSE142277/GSM4224315/counts.1pz,2568023,740,3317425,26542364,210.622,209.864
/mnt/home/besleya/quant/GSE114725/GSM3148598/counts.1pz,569017,1193,266091,2133504,12.9637,12.5266
/mnt/home/besleya/quant/GSE242197/GSM7754820/counts.1pz,15426210,6758,19268980,154178876,1179.83,1176.33
/mnt/home/besleya/quant/GSE114725/GSM3148629/counts.1pz,789025,1064,526261,4214348,27.6695,26.7486
/mnt/home/besleya/quant/GSE303581/GSM9129513/counts.1pz,18087781,10028,22848096,182824884,1379.27,1376.63
/mnt/home/besleya/quant/GSE266546/GSM8249607/counts.1pz,1910532,4457,1747105,13994672,85.8204,83.7042
/mnt/home/besleya/quant/GSE261774/GSM8151513/counts.1pz,5985534,4906,7045665,56384948,393.483,398.815
/mnt/home/besleya/quant/GSE206391/GSM6252947/counts.1pz,810849,709,575302,4605256,32.5672,31.5244
/mnt/home/besleya/quant/GSE150290/GSM4546340/counts.1pz,2615385,1977,2661625,21300912,148.607,147.206
/mnt/home/besleya/quant/GSE121080/GSM3425697/counts.1pz,10087321,6221,12827159,102642160,751.413,755.085
/mnt/home/besleya/quant/GSE232362/GSM7329392/counts.1pz,27409499,112234,34954580,280085580,2163.47,2158.33
/mnt/home/besleya/quant/GSE204864/GSM6199113/counts.1pz,378864,266,74063,593572,4.89173,4.05186
